,url,cadena,cine,direccion,precio,salas,Entrada,Día del espectador,La noche del Domingo,Menores 12 años,Mayores 65 años,Pack Familiar,Matinales,Martes y jueves,Fin de semana y festivos,Vuelve al cine,Carné joven,Primera sesión laborables,Última sesión domingos y festivos,"Viernes, sábados, domingos y festivos",Miércoles al cine,CP
0,https://www.cinesrenoir.com/cine/cines-princesa/cartelera/,Renoir,Cines Princesa,"PRINCESA, 3-5 - 28008 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",11,,9.5,,,5.0,,,,7.9,9.4,,,,,,28008
1,https://www.cinesrenoir.com/cine/renoir-floridablanca/cartelera/,Renoir,Renoir Floridablanca,"FLORIDABLANCA, 135 - 08011 BARCELONA ","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",7,,9.5,,,5.0,,,,7.9,9.4,,,,,,08011
2,https://www.cinesrenoir.com/cine/renoir-plaza-de-espana/cartelera/,Renoir,Renoir Plaza de España,"MARTIN DE LOS HEROS, 12 - 28008 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",5,,9.5,,,5.0,,,,7.9,9.4,,,,,,28008
3,https://www.cinesrenoir.com/cine/renoir-retiro/cartelera/,Renoir,Renoir Retiro,"NARVÁEZ, 42 - 28009 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",4,,9.5,,,5.0,,,,7.9,9.4,,,,,,28009
