,0
0,Loading...
1,"BOULEVARD
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
20:0021:15
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:15
Estreno
El piloto
M-16108
2D ESPAÑOL
19:3522:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:1020:2022:30
Llaman a la puerta
M-16100
2D ESPAÑOL
19:5022:10
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:10
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
22:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:45
Babylon
M-16188
2D ESPAÑOL
21:20
M3GAN
M-12102
2D ESPAÑOL
22:30
El gato con botas: El último deseo
M-7101
ESPAÑOL
20:30
2D ESPAÑOL
20:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:15
VOLVER ARRIBA"
2,"IMAGINALIA
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
20:0023:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:2520:3022:35
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1523:15
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
19:1521:15
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3522:40
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
20:50
Babylon
M-16188
2D ESPAÑOL
22:25
M3GAN
M-12102
2D ESPAÑOL
23:20
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:30
VOLVER ARRIBA
VIALIA ALBACETE
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:1022:10
Estreno
Titanic (Reestreno)
M-12194
3D VOSE
21:15
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:05
TÁR
M-7158
2D CI ESPAÑOL
22:05
Babylon
M-16188
2D ESPAÑOL
21:30
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
21:00
Modelo 77
M-16125
2D ESPAÑOL
19:20
VOLVER ARRIBA"
3,"PUERTA DE ALICANTE
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1522:30
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
19:3021:15
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:3021:30
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:0022:15
Llaman a la puerta
M-16100
2D ESPAÑOL
18:1520:3022:45
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
20:2522:45
The Offering
M-1693
2D ESPAÑOL
22:30
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:15
TÁR
M-7158
2D CI ESPAÑOL
21:45
Babylon
M-16188
2D ESPAÑOL
20:45
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
18:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:30
Modelo 77
M-16125
2D ESPAÑOL
19:50
VOLVER ARRIBA
VINALOPO
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
19:3021:15
Estreno
El piloto
M-16108
2D ESPAÑOL
19:4022:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:1522:30
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3022:45
The Offering
M-1693
2D ESPAÑOL
22:40
M3GAN
M-12102
2D ESPAÑOL
22:35
Avatar: El sentido del agua
M-12194
2D ESPAÑOL
21:30
3D HFR ESPAÑOL
18:4520:45
Modelo 77
M-16125
2D ESPAÑOL
19:55
VOLVER ARRIBA"
4,"ROQUETAS
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:0022:00
Estreno
El piloto
M-16108
2D ESPAÑOL
19:4522:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:2020:2522:30
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
20:0021:15
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
20:1522:35
Llaman a la puerta
M-16100
2D ESPAÑOL
18:1520:2522:30
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:30
Babylon
M-16188
2D ESPAÑOL
21:15
M3GAN
M-12102
2D ESPAÑOL
19:15
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:10
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:0020:4521:30
As bestas
M-12137
2D CI ESPAÑOL
22:00
Modelo 77
M-16125
2D ESPAÑOL
21:30
VOLVER ARRIBA
TORRECÁRDENAS
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
20:1521:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:1520:3023:00
Estreno
Mi querido monstruo
TP99
ESPAÑOL
20:00
Estreno
El piloto
M-16108
2D ESPAÑOL
19:0021:1023:30
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:4022:35
Llaman a la puerta
M-16100
2D ESPAÑOL
18:2520:3522:45
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
20:15
Reza por el diablo
M-1693
2D ESPAÑOL
22:50
Avatar: El sentido del agua XE HFR
PDC194
2D ESPAÑOL
21:30
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:10
Modelo 77
M-16125
2D ESPAÑOL
22:40
VOLVER ARRIBA"
5,"LOS PRADOS
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:00
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1022:30
Estreno
Titanic (Reestreno)
M-12194
3D VOSE
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:2020:3022:40
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:3022:00
Llaman a la puerta
M-16100
2D ESPAÑOL
20:4022:45
TÁR
M-7158
2D CI ESPAÑOL
19:0022:05
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:25
2D CI VOSE
21:50
Babylon
M-16188
2D ESPAÑOL
21:25
M3GAN
M-12102
2D ESPAÑOL
20:45
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:10
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:4521:05
A todo tren 2: Sí, les ha pasado otra vez
M-785
2D ESPAÑOL
18:35
VOLVER ARRIBA
OCIMAX GIJON
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
El piloto
M-16108
2D ESPAÑOL
20:0022:15
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:3021:30
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3522:40
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:1521:45
M3GAN
M-12102
2D ESPAÑOL
21:45
El gato con botas: El último deseo
M-7101
ESPAÑOL
20:00
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
21:00
2D ESPAÑOL
20:15
VOLVER ARRIBA"
6,"PREMIUM EL FARO
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:2521:35
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:5022:50
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1022:30
Llaman a la puerta
M-16100
2D ESPAÑOL
19:4021:50
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
22:10
3D HFR ESPAÑOL
20:45
Modelo 77
M-16125
2D ESPAÑOL
19:35
VOLVER ARRIBA"
7,"COMEDIA
Estreno
Los Fabelman
M-12151
2D VOSE
21:15
Almas en pena de Inisherin
M-16114
2D CI VOSE
22:10
La ballena (The Whale)
M-16117
2D CI VOSE
19:30
TÁR
M-7158
2D CI VOSE
19:00
Babylon
M-16188
2D VOSE
21:00
Avatar: El sentido del agua
M-12194
3D HFR VOSE
20:45
Modelo 77
M-16125
2D ESPAÑOL
22:05
VOLVER ARRIBA
PREMIUM CASTELLDEFELS
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1022:30
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:4021:50
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:30
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Llaman a la puerta
M-16100
2D ESPAÑOL
19:3021:40
Babylon
M-16188
2D ESPAÑOL
19:45
M3GAN
M-12102
2D ESPAÑOL
22:45
El gato con botas: El último deseo
M-7101
ESPAÑOL
20:15
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
20:45
3D HFR ESPAÑOL
19:00
VOLVER ARRIBA
ICARIA
Estreno
El piloto
M-16108
2D VOSE
20:0022:15
Estreno
Titanic (Reestreno)
M-12194
3D VOSE
20:0021:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:1522:30
Estreno
Los Fabelman
M-12151
2D VOSE
18:3021:45
Astérix y Obélix y el reino medio
M-7111
2D VOSE
18:15
Llaman a la puerta
M-16100
2D VOSE
20:3022:45
Almas en pena de Inisherin
M-16114
2D CI VOSE
20:0022:30
La ballena (The Whale)
M-16117
2D CI VOSE
19:4522:15
TÁR
M-7158
2D CI VOSE
19:15
Babylon
M-16188
2D VOSE
21:00
M3GAN
M-12102
2D VOSE
22:45
El gato con botas: El último deseo
M-7101
2D VOSE
18:15
Avatar: El sentido del agua
M-12194
2D VOSE
19:00
3D HFR VOSE
21:15
Modelo 77
M-16125
2D ESPAÑOL
22:20
Todo a la vez en todas partes
M-12150
2D CI VOSE
20:30
VOLVER ARRIBA
PREMIUM SANT CUGAT
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:3021:4023:50
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
20:0523:10
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Llaman a la puerta
M-16100
2D ESPAÑOL
21:3023:40
Babylon
M-16188
2D ESPAÑOL
19:05
M3GAN
M-12102
2D ESPAÑOL
22:50
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:15
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
18:45
3D HFR ESPAÑOL
21:00
Modelo 77
M-16125
2D ESPAÑOL
22:30
VOLVER ARRIBA
ABRERA
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
20:0021:15
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:3021:30
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:1520:2022:30
Estreno
El piloto
M-16108
2D ESPAÑOL
19:3021:45
Llaman a la puerta
M-16100
2D ESPAÑOL
19:4522:0022:45
Avatar: El sentido del agua
M-12194
2D ESPAÑOL
19:00
3D HFR ESPAÑOL
20:45
VOLVER ARRIBA
BARICENTRO
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:4522:00
Estreno
El piloto
M-16108
2D ESPAÑOL
20:0022:15
Llaman a la puerta
M-16100
2D ESPAÑOL
19:20
Babylon
M-16188
2D ESPAÑOL
21:30
M3GAN
M-12102
2D ESPAÑOL
22:30
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
20:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:15
2D ESPAÑOL
20:45
VOLVER ARRIBA"
8,"AREA SUR
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
3D ESPAÑOL
20:00
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1022:25
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:4521:45
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:5522:05
Llaman a la puerta
M-16100
2D ESPAÑOL
18:1020:1522:20
The Offering
M-1693
2D ESPAÑOL
22:30
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:40
Babylon
M-16188
2D ESPAÑOL
21:30
M3GAN
M-12102
2D ESPAÑOL
20:2022:40
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
18:1519:25
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:0021:00
Modelo 77
M-16125
2D ESPAÑOL
22:00
VOLVER ARRIBA
PREMIUM PUERTA EUROPA
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:1520:3022:45
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
19:5521:15
Estreno
El piloto
M-16108
2D ESPAÑOL
20:2022:40
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:5021:50
Estreno
Mi querido monstruo
TP99
ESPAÑOL
20:00
Llaman a la puerta
M-16100
2D ESPAÑOL
20:1022:25
The Offering
M-1693
2D ESPAÑOL
22:35
M3GAN
M-12102
2D ESPAÑOL
22:45
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
21:10
HFR ESPAÑOL
19:00
Modelo 77
M-16125
2D ESPAÑOL
20:00
VOLVER ARRIBA
PREMIUM BAHÍA SUR
Estreno
El piloto
M-16108
2D ESPAÑOL
19:5022:20
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:15
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:2520:3522:45
Llaman a la puerta
M-16100
2D ESPAÑOL
20:0022:30
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:45
HFR ESPAÑOL
18:45
Modelo 77
M-16125
2D ESPAÑOL
22:10
VOLVER ARRIBA"
9,"PEÑACASTILLO
Estreno
El piloto
M-16108
2D ESPAÑOL
20:1522:30
Estreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:4020:4522:45
Llaman a la puerta
M-16100
2D ESPAÑOL
20:2522:35
M3GAN
M-12102
2D ESPAÑOL
21:30
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:05
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
21:00
HFR ESPAÑOL
19:45
VOLVER ARRIBA"
