,0
0,Loading...
1,"BOULEVARD
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:15
Estreno
El piloto
M-16108
2D ESPAÑOL
19:10
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:30
Llaman a la puerta
M-16100
2D ESPAÑOL
19:5022:10
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
19:25
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:45
TÁR
M-7158
2D CI ESPAÑOL
21:45
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
22:15
M3GAN
M-12102
2D ESPAÑOL
22:30
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
20:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:45
2D ESPAÑOL
21:20
As bestas
M-12137
2D CI ESPAÑOL
22:00
VOLVER ARRIBA"
2,"IMAGINALIA
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:0022:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:3022:35
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
El piloto
M-16108
2D ESPAÑOL
22:30
Llaman a la puerta
M-16100
2D ESPAÑOL
19:5522:00
Babylon
M-16188
2D ESPAÑOL
19:30
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
21:30
3D HFR ESPAÑOL
19:30
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:50
VOLVER ARRIBA
VIALIA ALBACETE
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:0021:00
Reestreno
Titanic (Reestreno)
M-12194
3D ESPAÑOL
17:0020:40
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
18:15
Babylon
M-16188
2D ESPAÑOL
20:45
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
17:0020:40
Ganador
As bestas
M-12137
2D CI ESPAÑOL
17:1521:10
VOLVER ARRIBA"
3,"PUERTA DE ALICANTE
Estreno
El piloto
M-16108
2D ESPAÑOL
19:3021:45
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
20:30
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:5021:55
Llaman a la puerta
M-16100
2D ESPAÑOL
18:1522:00
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:30
The Offering
M-1693
2D ESPAÑOL
22:00
TÁR
M-7158
2D CI ESPAÑOL
21:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:2521:50
Babylon
M-16188
2D ESPAÑOL
20:30
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3020:35
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:15
VOLVER ARRIBA
VINALOPO
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
19:3021:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:1522:30
Estreno
El piloto
M-16108
2D ESPAÑOL
22:15
Llaman a la puerta
M-16100
2D ESPAÑOL
20:2022:35
M3GAN
M-12102
2D ESPAÑOL
22:30
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
20:45
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:45
VOLVER ARRIBA"
4,"ROQUETAS
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:0022:00
Estreno
El piloto
M-16108
2D ESPAÑOL
19:4522:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:2020:2522:30
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
20:1522:35
Llaman a la puerta
M-16100
2D ESPAÑOL
18:1520:2522:30
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
18:45
Babylon
M-16188
2D ESPAÑOL
21:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3020:45
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:1522:00
VOLVER ARRIBA
TORRECÁRDENAS
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:30
3D ESPAÑOL
21:15
Estreno
El piloto
M-16108
2D ESPAÑOL
17:4520:0022:30
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
17:0019:4021:4522:45
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
16:4519:0022:00
Llaman a la puerta
M-16100
2D ESPAÑOL
20:2522:35
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
16:50
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
18:00
El gato con botas: El último deseo
M-7101
ESPAÑOL
18:45
2D ESPAÑOL
17:45
Avatar: El sentido del agua
M-12194
2D ESPAÑOL
21:30
3D ESPAÑOL
17:00
3D HFR ESPAÑOL
19:10
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:5022:30
VOLVER ARRIBA"
5,"LOS PRADOS
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:00
Estreno
El piloto
M-16108
2D ESPAÑOL
20:10
Reestreno
Titanic (Reestreno)
M-12194
3D VOSE
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:3022:40
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:3022:00
Llaman a la puerta
M-16100
2D ESPAÑOL
22:30
TÁR
M-7158
2D CI ESPAÑOL
19:0022:05
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:25
2D CI VOSE
21:50
Babylon
M-16188
2D ESPAÑOL
21:25
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:10
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
21:00
2D ESPAÑOL
20:15
VOLVER ARRIBA
OCIMAX GIJON
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
El piloto
M-16108
2D ESPAÑOL
20:0022:15
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
21:00
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:3021:30
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3522:40
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
19:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
19:1521:45
El gato con botas: El último deseo
M-7101
ESPAÑOL
20:00
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
21:00
2D ESPAÑOL
20:45
Ganador
As bestas
M-12137
2D CI ESPAÑOL
21:30
VOLVER ARRIBA"
6,"PREMIUM EL FARO
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
17:0018:0022:40
Estreno
El piloto
M-16108
2D ESPAÑOL
17:4022:30
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:3021:15
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:2022:25
Llaman a la puerta
M-16100
2D ESPAÑOL
17:0520:0022:10
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
20:15
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
22:45
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
17:20
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
19:05
3D HFR ESPAÑOL
17:1521:00
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:45
VOLVER ARRIBA"
7,"COMEDIA
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:00
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:00
2D VOSE
21:15
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
17:10
2D CI VOSE
22:10
La ballena (The Whale)
M-16117
2D CI VOSE
19:00
TÁR
M-7158
2D CI VOSE
21:30
Babylon
M-16188
2D VOSE
21:00
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
16:50
Avatar: El sentido del agua
M-12194
3D HFR VOSE
20:45
2D ESPAÑOL
17:20
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:30
VOLVER ARRIBA
PREMIUM CASTELLDEFELS
Estreno
El piloto
M-16108
2D ESPAÑOL
17:4020:0022:20
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:0021:30
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:3021:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:4522:00
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
17:00
Llaman a la puerta
M-16100
2D ESPAÑOL
19:3021:40
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
17:10
El gato con botas: El último deseo
M-7101
ESPAÑOL
18:00
2D ESPAÑOL
17:20
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
17:00
HFR ESPAÑOL
20:45
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:2522:15
VOLVER ARRIBA
ICARIA
Estreno
El piloto
M-16108
2D VOSE
20:00
Reestreno
Titanic (Reestreno)
M-12194
3D VOSE
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:1522:30
Estreno
Los Fabelman
M-12151
2D VOSE
21:45
Llaman a la puerta
M-16100
2D VOSE
19:0021:0022:45
Almas en pena de Inisherin
M-16114
2D CI VOSE
20:0022:30
La ballena (The Whale)
M-16117
2D CI VOSE
19:4522:15
TÁR
M-7158
2D CI VOSE
19:00
Decision to Leave
M-12138
2D CI VOSE
22:15
Babylon
M-16188
2D VOSE
21:00
Avatar: El sentido del agua
M-12194
3D HFR VOSE
19:00
2D VOSE
21:15
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:1522:00
Todo a la vez en todas partes
M-12150
2D CI VOSE
22:00
VOLVER ARRIBA
PREMIUM SANT CUGAT
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
20:0522:20
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
19:0022:10
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Llaman a la puerta
M-16100
2D ESPAÑOL
20:3022:50
Babylon
M-16188
2D ESPAÑOL
22:05
M3GAN
M-12102
2D ESPAÑOL
22:40
Avatar: El sentido del agua
M-12194
HFR ESPAÑOL
18:45
3D HFR ESPAÑOL
21:00
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:20
VOLVER ARRIBA
ABRERA
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:3021:30
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:0020:2022:30
Estreno
El piloto
M-16108
2D ESPAÑOL
19:3021:45
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:3021:15
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
17:20
Llaman a la puerta
M-16100
2D ESPAÑOL
19:4522:00
M3GAN
M-12102
2D ESPAÑOL
17:15
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
17:45
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
17:0020:45
Ganador
As bestas
M-12137
2D CI ESPAÑOL
20:15
VOLVER ARRIBA
BARICENTRO
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
21:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
19:4522:00
Estreno
El piloto
M-16108
2D ESPAÑOL
20:0022:15
Llaman a la puerta
M-16100
2D ESPAÑOL
19:2022:45
Babylon
M-16188
2D ESPAÑOL
21:30
M3GAN
M-12102
2D ESPAÑOL
22:30
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
20:15
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:15
2D ESPAÑOL
20:45
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:50
VOLVER ARRIBA"
8,"AREA SUR
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:3021:15
Estreno
Mi querido monstruo
TP99
2D ESPAÑOL
17:40
Estreno
El piloto
M-16108
2D ESPAÑOL
19:4522:30
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:4521:45
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:0020:1522:20
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
17:10
Almas en pena de Inisherin
M-16114
2D CI ESPAÑOL
17:00
Llaman a la puerta
M-16100
2D ESPAÑOL
20:0022:05
La ballena (The Whale)
M-16117
2D CI ESPAÑOL
22:05
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
17:45
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
19:3021:00
HFR ESPAÑOL
17:15
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:20
VOLVER ARRIBA
PREMIUM PUERTA EUROPA
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:1520:2522:35
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:3021:15
Estreno
El piloto
M-16108
2D ESPAÑOL
18:0020:1522:30
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:5021:50
Llaman a la puerta
M-16100
2D ESPAÑOL
20:2522:40
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
17:15
M3GAN
M-12102
2D ESPAÑOL
22:30
El gato con botas: El último deseo
M-7101
ESPAÑOL
18:45
2D ESPAÑOL
18:00
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
17:2021:10
Ganador
As bestas
M-12137
2D CI ESPAÑOL
19:30
VOLVER ARRIBA
PREMIUM BAHÍA SUR
Estreno
El piloto
M-16108
2D ESPAÑOL
17:3019:5022:20
Estreno
Los Fabelman
M-12151
2D ESPAÑOL
18:0021:15
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:3021:15
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
18:2520:3522:45
Llaman a la puerta
M-16100
2D ESPAÑOL
20:00
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
17:50
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
17:0020:45
HFR ESPAÑOL
19:50
Ganador
As bestas
M-12137
2D CI ESPAÑOL
17:00
Modelo 77
M-16125
2D ESPAÑOL
22:10
VOLVER ARRIBA"
9,"PEÑACASTILLO
Estreno
El piloto
M-16108
2D ESPAÑOL
17:1019:2521:40
Reestreno
Titanic (Reestreno)
M-12194
3D HFR ESPAÑOL
17:30
Estreno
La niña de la comunión
M-1699
2D ESPAÑOL
17:5019:5521:55
Astérix y Obélix y el reino medio
M-7111
2D ESPAÑOL
17:15
Llaman a la puerta
M-16100
2D ESPAÑOL
19:3521:45
El asombroso Mauricio
TP93
2D ESPAÑOL
17:00
M3GAN
M-12102
2D ESPAÑOL
21:15
El gato con botas: El último deseo
M-7101
2D ESPAÑOL
19:05
Avatar: El sentido del agua
M-12194
3D HFR ESPAÑOL
18:00
HFR ESPAÑOL
17:05
As bestas
M-12137
2D CI ESPAÑOL
21:00
VOLVER ARRIBA"
